DiasDeFolga,ChamarAmigo,Disponibilidade,Desconto,NovaDisponibilidade,MaoDeObra,Encomenda
TerQuar,Nao,TresDias,Nao,TresDias,EmFalta,Encaminhada
QuarQuin,Nao,TresDias,Nao,TresDias,Suficiente,Encaminhada
QuinSex,Sim,TresDias,Sim,TresDias,Suficiente,Encaminhada
QuarQuin,Nao,TresDias,Nao,CincoDias,EmFalta,Encaminhada
QuarQuin,Sim,Imediata,Nao,Imediata,Suficiente,Encaminhada
QuarQuin,Nao,Imediata,Nao,Imediata,Suficiente,Encaminhada
SegTer,Sim,Imediata,Nao,Imediata,Suficiente,Encaminhada
SegTer,Sim,Imediata,Nao,Imediata,Suficiente,Encaminhada
QuinSex,Nao,TresDias,Nao,TresDias,Suficiente,Encaminhada
SegTer,Nao,Imediata,Nao,Imediata,EmFalta,Encaminhada
QuinSex,Sim,Imediata,Sim,Imediata,Suficiente,Encaminhada
QuarQuin,Sim,TresDias,Nao,CincoDias,Suficiente,Encaminhada
TerQuar,Nao,Imediata,Sim,Imediata,Suficiente,Encaminhada
TerQuar,Sim,TresDias,Sim,TresDias,Suficiente,Encaminhada
SegTer,Nao,Imediata,Nao,Imediata,Suficiente,Encaminhada
QuinSex,Nao,TresDias,Nao,TresDias,Suficiente,Encaminhada
TerQuar,Nao,TresDias,Nao,CincoDias,Suficiente,Encaminhada
TerQuar,Sim,Imediata,Nao,Imediata,Suficiente,Encaminhada
TerQuar,Sim,TresDias,Nao,TresDias,Suficiente,Encaminhada
SegTer,Sim,Imediata,Nao,Imediata,Suficiente,Encaminhada
SegTer,Nao,Imediata,Nao,Imediata,Suficiente,Encaminhada
TerQuar,Sim,TresDias,Nao,TresDias,Suficiente,Encaminhada
SegTer,Nao,TresDias,Nao,TresDias,Suficiente,Encaminhada
TerQuar,Nao,Imediata,Nao,Imediata,Suficiente,Encaminhada
QuarQuin,Sim,TresDias,Sim,TresDias,Suficiente,Encaminhada
TerQuar,Sim,Imediata,Nao,Imediata,Suficiente,Encaminhada
QuarQuin,Sim,TresDias,Sim,CincoDias,Suficiente,Encaminhada
SegTer,Nao,Imediata,Nao,Imediata,Suficiente,Encaminhada
SegTer,Sim,TresDias,Nao,TresDias,Suficiente,Encaminhada
TerQuar,Sim,Imediata,Nao,Imediata,EmFalta,Encaminhada
QuarQuin,Sim,TresDias,Nao,TresDias,Suficiente,Encaminhada
QuarQuin,Nao,TresDias,Sim,CincoDias,Suficiente,Encaminhada
SegTer,Sim,Imediata,Sim,TresDias,Suficiente,Encaminhada
QuarQuin,Nao,TresDias,Sim,CincoDias,Suficiente,Encaminhada
TerQuar,Nao,Imediata,Nao,Imediata,Suficiente,Encaminhada
QuinSex,Sim,Imediata,Nao,Imediata,Suficiente,Encaminhada
SegTer,Nao,TresDias,Nao,TresDias,Suficiente,Encaminhada
QuinSex,Nao,Imediata,Sim,TresDias,Suficiente,Encaminhada
QuarQuin,Sim,TresDias,Nao,TresDias,Suficiente,Encaminhada
SegTer,Sim,TresDias,Nao,TresDias,Suficiente,Encaminhada
QuarQuin,Sim,TresDias,Nao,TresDias,Suficiente,Encaminhada
QuarQuin,Sim,TresDias,Nao,TresDias,Suficiente,Extraviada
QuarQuin,Sim,Imediata,Sim,TresDias,Suficiente,Encaminhada
QuinSex,Sim,Imediata,Sim,TresDias,Suficiente,Encaminhada
TerQuar,Sim,Imediata,Nao,Imediata,Suficiente,Encaminhada
TerQuar,Nao,Imediata,Nao,Imediata,Suficiente,Extraviada
QuinSex,Nao,Imediata,Nao,Imediata,Suficiente,Encaminhada
QuinSex,Nao,TresDias,Nao,CincoDias,Suficiente,Encaminhada
QuinSex,Nao,Imediata,Sim,TresDias,Suficiente,Encaminhada
QuarQuin,Nao,Imediata,Nao,Imediata,Suficiente,Encaminhada
QuarQuin,Sim,Imediata,Nao,Imediata,Suficiente,Encaminhada
QuinSex,Sim,TresDias,Nao,TresDias,Suficiente,Encaminhada
TerQuar,Nao,TresDias,Nao,TresDias,Suficiente,Encaminhada
TerQuar,Sim,Imediata,Nao,Imediata,Suficiente,Encaminhada
