DiasDeFolga,Disponibilidade,Desconto,NovaDisponibilidade,MaoDeObra,Encomenda
QuarQuin,Imediata,Metade,Imediata,EmFalta,Encaminhada
SegTer,Imediata,Normal,Imediata,Suficiente,Encaminhada
QuarQuin,TresDias,Normal,TresDias,Suficiente,Encaminhada
QuinSex,TresDias,Normal,CincoDias,Suficiente,Encaminhada
SegTer,TresDias,Normal,TresDias,Suficiente,Encaminhada
SegTer,TresDias,Normal,TresDias,Suficiente,Encaminhada
QuinSex,TresDias,Normal,TresDias,Suficiente,Encaminhada
SegTer,TresDias,Normal,TresDias,EmFalta,Extraviada
TerQuar,TresDias,Normal,TresDias,Suficiente,Encaminhada
SegTer,TresDias,Normal,TresDias,Suficiente,Encaminhada
TerQuar,Imediata,Metade,TresDias,Suficiente,Encaminhada
SegTer,Imediata,Normal,Imediata,Suficiente,Extraviada
QuinSex,Imediata,Normal,Imediata,Suficiente,Encaminhada
SegTer,Imediata,Normal,Imediata,Suficiente,Encaminhada
TerQuar,Imediata,Normal,Imediata,Suficiente,Encaminhada
QuarQuin,TresDias,Normal,CincoDias,EmFalta,Encaminhada
QuinSex,TresDias,Metade,TresDias,Suficiente,Encaminhada
TerQuar,Imediata,Normal,Imediata,Suficiente,Encaminhada
SegTer,Imediata,Normal,Imediata,Suficiente,Encaminhada
QuinSex,TresDias,Metade,CincoDias,EmFalta,Encaminhada
QuarQuin,TresDias,Metade,TresDias,Suficiente,Encaminhada
SegTer,TresDias,Metade,CincoDias,Suficiente,Encaminhada
SegTer,TresDias,Metade,TresDias,Suficiente,Encaminhada
QuinSex,TresDias,Normal,TresDias,Suficiente,Encaminhada
QuarQuin,TresDias,Metade,TresDias,Suficiente,Encaminhada
QuinSex,Imediata,Normal,TresDias,Suficiente,Encaminhada
QuinSex,TresDias,Normal,TresDias,Suficiente,Encaminhada
QuarQuin,TresDias,Metade,TresDias,Suficiente,Encaminhada
SegTer,TresDias,Normal,TresDias,Suficiente,Encaminhada
TerQuar,Imediata,Normal,Imediata,Suficiente,Encaminhada
SegTer,TresDias,Metade,CincoDias,Suficiente,Encaminhada
QuinSex,Imediata,Normal,Imediata,Suficiente,Extraviada
TerQuar,Imediata,Normal,Imediata,Suficiente,Encaminhada
SegTer,TresDias,Metade,TresDias,Suficiente,Encaminhada
TerQuar,Imediata,Normal,Imediata,Suficiente,Encaminhada
QuarQuin,TresDias,Normal,TresDias,Suficiente,Encaminhada
TerQuar,Imediata,Normal,Imediata,EmFalta,Encaminhada
SegTer,Imediata,Normal,Imediata,Suficiente,Encaminhada
SegTer,TresDias,Normal,TresDias,Suficiente,Encaminhada
TerQuar,TresDias,Normal,TresDias,Suficiente,Encaminhada
QuinSex,Imediata,Normal,Imediata,Suficiente,Encaminhada
QuarQuin,Imediata,Normal,Imediata,Suficiente,Encaminhada
TerQuar,TresDias,Normal,TresDias,Suficiente,Encaminhada
TerQuar,Imediata,Normal,Imediata,Suficiente,Encaminhada
TerQuar,Imediata,Normal,Imediata,Suficiente,Encaminhada
QuarQuin,TresDias,Normal,TresDias,Suficiente,Extraviada
QuinSex,Imediata,Normal,Imediata,Suficiente,Encaminhada
TerQuar,Imediata,Normal,Imediata,Suficiente,Encaminhada
SegTer,Imediata,Normal,Imediata,Suficiente,Encaminhada
