Atributo_X,Atributo_Y,Atributo_Z,classe
8.30,4.15,0.14,A
2.10,0.41,1.20,B
0.65,2.92,0.63,B
3.07,4.17,0.89,A
8.11,4.11,1.82,A
9.43,4.71,0.22,A
1.33,2.17,1.83,B
8.06,2.24,0.95,A
5.42,1.50,1.45,A
7.88,1.16,1.87,A
8.85,0.31,1.53,A
9.56,1.36,1.70,A
5.54,1.68,0.87,B
8.71,3.22,0.54,A
3.17,2.28,0.18,B
2.27,1.99,0.06,B
3.39,2.66,0.93,B
2.55,1.69,1.83,A
7.28,4.40,0.43,A
4.51,3.34,0.89,A
3.87,2.76,1.01,B
1.54,2.54,1.56,B
0.03,0.31,0.23,B
4.37,4.67,1.52,A
7.05,1.25,0.43,B
7.95,2.39,1.23,A
8.27,4.08,0.29,A
2.92,0.36,0.97,B
2.05,4.00,0.73,B
4.18,1.25,0.06,B
8.63,3.19,1.17,A
3.69,3.96,0.19,B
1.47,3.97,0.31,B
2.62,1.16,0.18,B
0.21,4.69,0.68,B
2.35,3.66,1.64,A
8.47,2.79,1.27,A
9.92,4.25,1.41,A
4.75,0.27,1.01,B
8.39,2.36,1.51,A
8.71,1.68,0.79,A
4.55,3.53,0.37,B
5.48,4.26,1.96,A
7.04,0.57,0.43,B
7.94,0.67,0.30,B
1.35,1.85,1.76,B
9.54,1.08,0.88,A
5.89,1.04,0.58,B
2.97,3.42,0.69,B
8.03,2.61,1.63,A
5.60,1.97,0.31,B
9.55,4.24,1.72,A
1.41,1.98,1.42,B
1.22,0.51,1.65,B
3.35,4.47,1.92,A
4.85,0.15,0.66,B
3.66,4.92,1.09,A
8.07,2.87,1.51,A
0.97,4.35,0.88,B
4.42,3.36,1.92,A
2.59,1.17,0.71,B
4.12,0.94,0.41,B
2.70,1.65,1.20,B
9.81,2.26,1.40,A
8.05,3.93,1.19,A
7.64,1.36,1.25,A
0.93,3.19,1.22,B
6.39,2.22,0.37,B
3.94,2.71,0.11,B
8.32,4.91,1.45,A
7.94,1.21,1.92,A
1.49,3.27,0.29,B
3.52,4.62,0.95,A
9.53,4.53,1.86,A
6.55,3.55,1.43,A
2.52,2.37,1.97,A
8.78,2.84,1.25,A
4.89,1.04,0.14,B
6.72,3.00,1.22,A
7.25,2.17,1.19,A
4.51,1.13,1.67,A
4.10,1.88,0.98,B
5.57,3.64,0.83,A
0.33,3.40,0.64,B
9.62,1.68,0.06,B
6.77,2.94,1.01,A
6.63,2.33,0.14,B
2.87,4.77,0.56,A
3.55,3.13,1.76,A
9.65,1.76,0.63,A
5.57,4.01,1.08,A
3.92,1.06,1.83,A
8.81,3.84,1.28,A
2.95,4.01,0.65,B
6.14,3.82,1.32,A
6.43,2.20,0.49,B
1.47,0.52,1.42,B
2.19,1.95,1.33,B
4.98,3.73,0.59,A
3.77,3.55,1.29,A
6.90,1.34,0.90,B
2.30,3.30,1.32,A
1.44,2.70,0.86,B
7.86,4.18,0.46,A
1.09,2.25,1.99,A
7.68,0.46,0.87,B
0.14,1.20,1.08,B
7.26,2.29,1.86,A
3.93,4.78,1.35,A
6.87,1.67,0.77,B
3.32,0.12,1.30,B
7.80,1.26,0.62,B
4.40,1.98,1.70,A
8.69,0.92,1.37,A
1.00,1.46,0.27,B
0.95,0.30,0.46,B
5.31,0.38,0.94,B
0.69,4.01,1.85,A
9.97,0.97,1.76,A
6.71,4.41,0.43,A
0.55,1.07,0.48,B
7.05,4.97,0.98,A
0.16,2.17,1.77,B
8.66,1.51,0.14,B
5.53,2.01,0.73,B
6.89,2.49,0.85,A
9.17,0.14,1.00,B
3.85,0.49,0.60,B
3.11,0.48,0.99,B
1.93,3.83,0.76,B
4.07,4.10,1.18,A
