insert into vendas values (20160518, 222900, 68, 22, 48, 19, 35, 'FS 473843173/9444', 'R 738243652/0935');
insert into vendas values (20171223, 205019, 42, 93, 44, 32, 5, 'FS 149724304/5324', 'R 872797865/8600');
insert into vendas values (20160206, 00853, 15, 22, 84, 90, 35, 'FS 492822016/0911', 'R 473195865/2884');
insert into vendas values (20170316, 95243, 43, 100, 43, 32, 32, 'FS 359626901/8028', 'R 085860016/7169');
insert into vendas values (20170901, 200236, 62, 16, 78, 59, 30, 'FS 193016096/0829', 'R 394948398/1439');
insert into vendas values (20160912, 204356, 55, 46, 38, 16, 22, 'FS 780525950/0643', 'R 781038350/4577');
insert into vendas values (20170730, 65919, 62, 62, 13, 65, 29, 'FS 256011394/4629', 'R 602376696/2402');
insert into vendas values (20170705, 54558, 16, 92, 29, 79, 27, 'FS 324931229/3916', 'R 345396128/4816');
insert into vendas values (20160712, 103642, 26, 86, 72, 87, 30, 'FS 597609551/1500', 'R 827657066/0913');
insert into vendas values (20160906, 115206, 3, 48, 38, 47, 29, 'FS 731073443/1475', 'R 537528594/9020');
insert into vendas values (20160217, 113013, 23, 3, 48, 68, 29, 'FS 401848301/7302', 'R 422617258/0985');
insert into vendas values (20160616, 145426, 15, 71, 42, 36, 35, 'FS 755812247/8801', 'R 047922461/1646');
insert into vendas values (20171116, 133449, 35, 51, 95, 86, 16, 'FS 554670480/6420', 'R 203869561/2295');
insert into vendas values (20170524, 165158, 54, 24, 27, 24, 8, 'FS 897092080/2301', 'R 729279918/2633');
insert into vendas values (20160106, 01200, 25, 38, 60, 3, 8, 'FS 783135007/7488', 'R 863479424/3165');
insert into vendas values (20170422, 182622, 68, 89, 52, 26, 34, 'FS 819851451/7891', 'R 465189889/1097');
insert into vendas values (20171218, 24217, 55, 8, 48, 67, 4, 'FS 499468380/1103', 'R 536677130/0387');
insert into vendas values (20160513, 154801, 67, 42, 30, 48, 31, 'FS 624577849/8896', 'R 063920198/7441');
insert into vendas values (20160701, 111121, 8, 67, 13, 38, 8, 'FS 649444126/1841', 'R 432254275/2360');
insert into vendas values (20170701, 140841, 64, 70, 44, 50, 29, 'FS 634438568/4444', 'R 208614200/5000');
insert into vendas values (20170713, 122429, 63, 58, 67, 72, 12, 'FS 238409418/1900', 'R 442331910/5910');
insert into vendas values (20160719, 13529, 28, 70, 69, 58, 1, 'FS 637879331/8456', 'R 272918461/6789');
insert into vendas values (20170629, 63215, 54, 16, 44, 1, 32, 'FS 700050342/6905', 'R 637351285/5382');
insert into vendas values (20161007, 234724, 24, 45, 63, 79, 16, 'FS 165240133/5431', 'R 730891720/8224');
insert into vendas values (20160602, 00444, 40, 90, 21, 57, 7, 'FS 484581095/5777', 'R 635635783/5462');
insert into vendas values (20160126, 191846, 59, 67, 17, 61, 4, 'FS 706374457/9096', 'R 276777148/9722');
insert into vendas values (20170726, 134404, 10, 46, 50, 36, 31, 'FS 315144989/9980', 'R 108319850/5890');
insert into vendas values (20160323, 163248, 41, 99, 65, 81, 11, 'FS 458409318/1876', 'R 864089169/7357');
insert into vendas values (20170201, 213924, 52, 22, 43, 61, 34, 'FS 877662285/3470', 'R 854889980/5025');
insert into vendas values (20160816, 140321, 65, 80, 31, 54, 1, 'FS 071999683/1479', 'R 026757394/6219');
insert into vendas values (20170315, 172802, 60, 29, 27, 42, 6, 'FS 785595152/8669', 'R 381031921/8262');
insert into vendas values (20160420, 134215, 5, 48, 2, 53, 21, 'FS 480100750/3435', 'R 338845437/7838');
insert into vendas values (20170702, 160210, 58, 27, 26, 69, 9, 'FS 620558932/5442', 'R 567432366/8568');
insert into vendas values (20160719, 12211, 10, 5, 97, 41, 29, 'FS 791489539/0597', 'R 507520392/4318');
insert into vendas values (20160326, 152412, 46, 44, 20, 81, 19, 'FS 314438482/3883', 'R 944904462/4205');
insert into vendas values (20160107, 43655, 46, 37, 48, 71, 10, 'FS 877445250/7318', 'R 535668070/6528');
insert into vendas values (20160324, 165352, 49, 83, 39, 47, 19, 'FS 029804634/5592', 'R 571071610/8330');
insert into vendas values (20161001, 115807, 52, 47, 88, 70, 12, 'FS 021085866/8575', 'R 512837929/3903');
insert into vendas values (20160116, 04505, 25, 51, 92, 50, 34, 'FS 504355814/2269', 'R 511488838/8936');
insert into vendas values (20171107, 82724, 2, 67, 76, 56, 18, 'FS 835316585/9600', 'R 873181094/5516');
insert into vendas values (20170201, 160840, 3, 58, 30, 92, 14, 'FS 801305826/0377', 'R 753612050/7656');
insert into vendas values (20171027, 100155, 52, 15, 44, 71, 32, 'FS 783060822/9954', 'R 153970818/6090');
insert into vendas values (20170924, 182043, 40, 26, 33, 74, 36, 'FS 074604314/2045', 'R 620272622/1621');
insert into vendas values (20161008, 14238, 10, 23, 32, 41, 12, 'FS 062199112/9891', 'R 436241489/4801');
insert into vendas values (20160422, 81148, 15, 40, 80, 52, 9, 'FS 255800770/9116', 'R 547974221/9720');
insert into vendas values (20171111, 130412, 68, 87, 44, 98, 31, 'FS 290672425/7097', 'R 996098840/0450');
