Atributo_X,Atributo_Y,classe
5.84,3.13,B
2.18,2.96,B
3.47,4.42,B
3.84,4.02,B
3.74,4.13,B
5.24,3.47,B
1.84,1.30,B
7.82,2.01,A
1.53,2.11,B
9.25,0.27,A
1.75,4.61,B
0.42,4.59,B
9.55,0.70,A
9.60,2.20,A
4.62,0.67,A
0.28,0.23,B
7.61,1.23,A
6.37,0.54,A
1.30,0.11,B
9.11,2.52,A
8.47,2.18,A
1.99,0.16,B
6.96,4.90,B
4.34,4.25,B
4.02,1.80,A
9.04,2.88,A
2.81,4.73,B
4.95,1.18,A
0.85,2.28,B
6.75,2.74,A
5.90,3.51,B
5.94,1.76,A
9.48,1.15,A
4.59,0.39,A
2.52,1.85,A
5.83,0.50,A
8.06,3.91,A
1.31,2.51,B
7.61,2.82,A
3.51,0.82,A
9.24,1.27,A
7.41,1.03,A
2.00,1.18,B
4.41,1.42,A
6.91,0.58,A
8.32,1.41,A
8.19,2.13,A
6.33,3.84,B
6.57,0.46,A
8.46,4.55,B
4.62,2.14,A
0.09,1.34,B
2.10,0.70,B
7.70,4.85,B
7.04,0.60,A
1.35,3.14,B
3.75,4.38,B
8.34,2.88,A
1.11,1.37,B
8.60,4.01,A
3.91,3.46,B
0.84,1.05,B
1.18,3.58,B
9.77,3.87,A
8.08,4.12,B
6.84,1.35,A
2.52,3.46,B
5.38,2.31,A
8.32,1.54,A
4.32,2.68,B
4.29,2.83,B
1.66,4.02,B
4.42,5.00,B
3.80,2.77,B
2.74,1.20,A
3.55,3.33,B
9.32,2.19,A
8.75,0.25,A
1.55,4.26,B
8.25,4.82,B
6.76,2.55,A
2.33,4.64,B
2.02,3.86,B
3.89,0.17,A
0.80,4.10,B
5.72,2.55,A
3.88,3.69,B
3.14,4.15,B
7.37,3.47,A
3.83,0.06,A
9.34,3.69,A
6.76,4.33,B
1.77,2.76,B
9.16,1.66,A
4.04,3.71,B
2.95,0.40,A
2.51,2.64,B
0.08,2.26,B
3.00,1.98,A
4.87,1.90,A
2.17,0.29,B
8.90,3.02,A
7.96,1.02,A
4.34,2.67,B
8.98,4.09,A
5.44,4.16,B
5.55,1.10,A
6.98,3.66,B
7.72,3.07,A
0.64,0.88,B
3.56,1.80,A
2.57,3.03,B
8.88,1.32,A
0.59,0.94,B
6.61,2.73,A
5.69,4.39,B
6.05,2.30,A
4.82,2.01,A
6.64,4.58,B
9.34,2.81,A
7.34,2.39,A
3.95,1.45,A
6.99,0.46,A
0.21,2.36,B
7.07,0.43,A
6.49,0.31,A
4.45,4.53,B
6.69,1.67,A
1.70,3.64,B
5.22,4.16,B
2.74,0.45,A
7.09,4.39,B
5.51,0.96,A
2.80,1.07,A
1.08,1.07,B
7.77,4.21,B
6.93,0.86,A
1.31,1.96,B
2.65,0.76,A
8.65,4.86,B
2.38,2.57,B
0.34,3.42,B
4.19,3.52,B
0.16,2.95,B
4.31,2.69,B
4.21,3.52,B
6.29,0.65,A
5.84,0.90,A
3.22,4.32,B
3.94,2.15,A
0.79,0.86,B
2.72,3.86,B
3.43,2.02,A
1.65,3.04,B
5.56,0.15,A
5.80,3.97,B
5.43,3.07,B
4.78,4.81,B
3.17,2.47,A
5.51,3.74,B
0.32,4.86,B
4.53,3.31,B
1.02,0.18,B
8.41,2.12,A
9.01,1.18,A
8.54,4.90,B
4.07,0.63,A
7.51,3.75,A
5.30,4.58,B
3.58,0.43,A
9.46,4.69,A
8.80,2.44,A
5.52,1.79,A
4.50,4.34,B
8.52,0.01,A
6.17,4.42,B
9.73,0.35,A
5.45,0.38,A
1.07,1.93,B
4.99,0.04,A
6.21,1.76,A
9.87,0.14,A
4.79,3.69,B
7.78,0.04,A
8.24,0.32,A
2.27,2.03,B
2.22,4.62,B
6.74,1.94,A
8.53,2.51,A
7.14,3.86,B
7.26,1.12,A
3.20,1.97,A
9.49,2.14,A
8.49,0.43,A
5.26,1.20,A
9.26,2.43,A
8.71,3.54,A
9.50,2.57,A
0.40,2.33,B
7.83,4.32,B
