insert into vendas values (20171014, 141919, 53, 49, 98, 8, 13, 'FS 966804566/9829', 'R 796514594/8712');
insert into vendas values (20170522, 74505, 61, 51, 78, 21, 35, 'FS 051635479/6453', 'R 695510552/2613');
insert into vendas values (20171112, 11722, 67, 61, 40, 84, 19, 'FS 824189361/8241', 'R 606163977/0172');
insert into vendas values (20170117, 171144, 45, 2, 81, 77, 23, 'FS 719246344/8040', 'R 967737210/5659');
insert into vendas values (20170227, 121201, 20, 11, 39, 47, 10, 'FS 932875334/6780', 'R 971081394/0416');
insert into vendas values (20160924, 154519, 8, 89, 18, 23, 8, 'FS 262427488/0473', 'R 294126190/3714');
insert into vendas values (20160220, 193703, 23, 81, 94, 52, 23, 'FS 304786796/2043', 'R 748571600/8703');
insert into vendas values (20160703, 04330, 49, 90, 73, 12, 33, 'FS 285262369/5920', 'R 408566735/8170');
insert into vendas values (20170404, 121531, 11, 32, 32, 40, 33, 'FS 824149602/8103', 'R 827988692/5209');
insert into vendas values (20170722, 201347, 33, 15, 70, 45, 6, 'FS 574967069/7636', 'R 454330260/9656');
insert into vendas values (20170227, 200628, 21, 25, 50, 3, 21, 'FS 726114955/1608', 'R 067792094/4335');
insert into vendas values (20171105, 30659, 15, 11, 32, 92, 34, 'FS 586878164/0978', 'R 601754545/7372');
insert into vendas values (20170309, 130748, 69, 6, 45, 69, 5, 'FS 627672978/6651', 'R 567623950/7905');
insert into vendas values (20170621, 01924, 7, 18, 85, 9, 14, 'FS 843580348/6465', 'R 797401602/6838');
insert into vendas values (20170906, 61208, 10, 22, 69, 55, 13, 'FS 432483617/9624', 'R 829933417/7060');
insert into vendas values (20170716, 65938, 21, 53, 14, 81, 24, 'FS 541288734/2274', 'R 354627133/9202');
insert into vendas values (20171023, 54441, 6, 64, 51, 64, 31, 'FS 073683663/7230', 'R 978030209/1201');
insert into vendas values (20160423, 220823, 43, 29, 21, 54, 26, 'FS 060007203/2492', 'R 291631554/6490');
insert into vendas values (20170613, 230440, 24, 97, 95, 87, 8, 'FS 010372891/2369', 'R 149094385/3507');
insert into vendas values (20160305, 133733, 47, 86, 50, 53, 6, 'FS 651023706/0492', 'R 634966558/9742');
insert into vendas values (20160613, 215925, 33, 23, 16, 98, 32, 'FS 457583894/5902', 'R 510226420/0868');
insert into vendas values (20171208, 195916, 28, 17, 74, 44, 15, 'FS 544374137/0889', 'R 952344276/3131');
insert into vendas values (20160126, 02134, 1, 87, 49, 11, 26, 'FS 255199741/8116', 'R 249726621/8380');
insert into vendas values (20160402, 182449, 26, 11, 25, 44, 4, 'FS 791844226/1144', 'R 274303973/4074');
insert into vendas values (20160912, 44431, 25, 62, 20, 87, 22, 'FS 938169930/4656', 'R 930618229/5784');
insert into vendas values (20170607, 175117, 54, 85, 33, 11, 23, 'FS 487173765/7366', 'R 088180506/2638');
insert into vendas values (20160217, 01919, 33, 59, 57, 5, 10, 'FS 420342029/6563', 'R 388015616/8517');
insert into vendas values (20160115, 42315, 4, 74, 36, 78, 14, 'FS 896475078/8806', 'R 335939843/9937');
insert into vendas values (20160120, 65212, 16, 22, 34, 46, 19, 'FS 745132379/2890', 'R 219482956/2841');
insert into vendas values (20170727, 113814, 54, 89, 67, 33, 3, 'FS 160081437/8912', 'R 378506752/6574');
insert into vendas values (20170126, 101010, 15, 22, 19, 71, 17, 'FS 683491173/6510', 'R 599328468/9408');
insert into vendas values (20161116, 204523, 56, 3, 21, 47, 8, 'FS 423355676/6429', 'R 968863292/6849');
insert into vendas values (20160327, 151006, 56, 3, 47, 73, 25, 'FS 906721069/9664', 'R 794553757/4815');
insert into vendas values (20160129, 71124, 37, 37, 61, 94, 12, 'FS 735670471/8441', 'R 039233251/1304');
insert into vendas values (20170522, 91018, 62, 43, 30, 24, 22, 'FS 457195104/5712', 'R 513610819/4233');
insert into vendas values (20170206, 84346, 15, 82, 37, 22, 16, 'FS 951897329/4393', 'R 139034938/6696');
insert into vendas values (20161021, 193838, 62, 56, 27, 29, 32, 'FS 440610532/0473', 'R 018917100/4649');
insert into vendas values (20171003, 02332, 63, 80, 57, 92, 13, 'FS 378809471/2191', 'R 313256639/1825');
insert into vendas values (20171207, 170722, 9, 59, 81, 90, 6, 'FS 294740762/4115', 'R 590083151/1187');
insert into vendas values (20160214, 75645, 51, 39, 5, 37, 16, 'FS 804821598/0691', 'R 809003155/3901');
insert into vendas values (20171207, 191553, 52, 38, 35, 38, 24, 'FS 031491070/8014', 'R 352688821/4771');
insert into vendas values (20170611, 83747, 55, 100, 43, 6, 6, 'FS 712795482/0999', 'R 655884687/4500');
insert into vendas values (20171202, 181208, 2, 93, 68, 18, 4, 'FS 609783918/6980', 'R 508213131/5917');
insert into vendas values (20160827, 80506, 3, 63, 54, 27, 12, 'FS 604329283/0329', 'R 090231098/4171');
insert into vendas values (20161203, 81253, 46, 67, 100, 47, 26, 'FS 007050933/9329', 'R 132030331/0277');
insert into vendas values (20170802, 192012, 65, 16, 85, 66, 22, 'FS 451244203/0053', 'R 086709763/6156');
insert into vendas values (20161222, 133822, 54, 75, 4, 4, 35, 'FS 086157144/3219', 'R 482929572/3131');
insert into vendas values (20170404, 224614, 23, 83, 48, 37, 19, 'FS 580653062/5296', 'R 782282223/2828');
insert into vendas values (20161128, 75056, 61, 57, 87, 12, 25, 'FS 442939825/5550', 'R 468679905/9829');
insert into vendas values (20171008, 73822, 57, 75, 96, 1, 23, 'FS 825900712/0297', 'R 450210724/9203');
insert into vendas values (20170217, 211700, 12, 48, 23, 36, 21, 'FS 565932981/5936', 'R 193311136/2587');
insert into vendas values (20160206, 165812, 26, 96, 74, 61, 25, 'FS 636894142/9572', 'R 760935640/6819');
insert into vendas values (20160908, 183315, 38, 28, 82, 97, 9, 'FS 634026782/6447', 'R 282720559/5204');
insert into vendas values (20160909, 180208, 64, 39, 57, 28, 19, 'FS 399039259/1141', 'R 522347587/8266');
insert into vendas values (20160513, 94208, 58, 49, 40, 39, 5, 'FS 385784775/0799', 'R 633885533/3367');
insert into vendas values (20170802, 194149, 56, 12, 45, 88, 23, 'FS 763955499/1829', 'R 568119087/8914');
insert into vendas values (20171120, 45842, 16, 98, 76, 10, 25, 'FS 996396565/5220', 'R 414993477/3230');
insert into vendas values (20170127, 221531, 64, 34, 73, 91, 27, 'FS 353548286/8426', 'R 759910903/1579');
insert into vendas values (20161127, 13127, 48, 25, 5, 27, 11, 'FS 493679125/6363', 'R 805253750/9990');
insert into vendas values (20160628, 172519, 32, 20, 36, 55, 3, 'FS 337038479/2736', 'R 639742832/1540');
insert into vendas values (20160920, 21236, 11, 71, 30, 16, 30, 'FS 781133919/5327', 'R 548809470/9649');
insert into vendas values (20160302, 13858, 66, 94, 91, 77, 18, 'FS 027079439/3734', 'R 371163547/0198');
insert into vendas values (20170818, 113741, 29, 97, 69, 70, 31, 'FS 863394759/3211', 'R 025805094/0129');
insert into vendas values (20171218, 51859, 58, 84, 34, 18, 8, 'FS 774589865/2424', 'R 118524728/4769');
insert into vendas values (20160630, 170452, 49, 64, 87, 34, 27, 'FS 393961236/6715', 'R 768006869/4273');
insert into vendas values (20170621, 63153, 24, 72, 40, 96, 18, 'FS 256003327/6832', 'R 478351763/3507');
insert into vendas values (20161214, 190426, 32, 40, 5, 60, 9, 'FS 869287077/6676', 'R 811691556/0920');
insert into vendas values (20170729, 95918, 24, 72, 79, 10, 28, 'FS 732402664/8482', 'R 705805314/1749');
insert into vendas values (20170215, 225122, 41, 75, 10, 87, 6, 'FS 170919672/4883', 'R 446169382/9608');
insert into vendas values (20170302, 65304, 62, 48, 24, 23, 26, 'FS 542810263/0402', 'R 484705288/0780');
insert into vendas values (20160423, 215459, 17, 38, 47, 88, 27, 'FS 577359390/0043', 'R 223686645/7796');
insert into vendas values (20170410, 171110, 59, 99, 15, 55, 7, 'FS 995948107/4204', 'R 060123935/3233');
insert into vendas values (20161017, 01511, 43, 41, 92, 69, 4, 'FS 722323284/6845', 'R 741729943/9356');
insert into vendas values (20160715, 212416, 12, 93, 63, 41, 20, 'FS 570618252/6809', 'R 608720715/8140');
insert into vendas values (20160322, 60641, 1, 89, 87, 65, 15, 'FS 810716613/6836', 'R 202872117/4144');
insert into vendas values (20160130, 193156, 26, 16, 28, 90, 24, 'FS 097545654/3439', 'R 842437199/7349');
insert into vendas values (20170715, 62036, 46, 17, 13, 11, 17, 'FS 219353588/8933', 'R 627999637/4004');
insert into vendas values (20160723, 203328, 7, 96, 3, 5, 11, 'FS 522044231/6266', 'R 678648456/1896');
insert into vendas values (20171030, 184531, 38, 33, 36, 77, 35, 'FS 466233941/1695', 'R 729394367/9316');
insert into vendas values (20170516, 151304, 47, 66, 21, 15, 29, 'FS 396409395/0869', 'R 946655334/9914');
insert into vendas values (20160816, 185453, 25, 75, 49, 83, 30, 'FS 731002378/9457', 'R 527869947/1626');
insert into vendas values (20160725, 10012, 61, 47, 33, 96, 9, 'FS 619970260/3584', 'R 913991480/7461');
insert into vendas values (20170218, 142659, 17, 10, 94, 66, 16, 'FS 138749856/9862', 'R 829914145/4884');
insert into vendas values (20161216, 233815, 21, 60, 40, 40, 9, 'FS 948990583/6951', 'R 921428881/8247');
insert into vendas values (20170802, 25259, 19, 12, 92, 24, 31, 'FS 705033584/3647', 'R 525079802/2834');
insert into vendas values (20171220, 213854, 65, 5, 3, 31, 14, 'FS 261367115/1760', 'R 011439400/3538');
insert into vendas values (20170429, 33720, 63, 56, 49, 32, 16, 'FS 318882233/3706', 'R 057475531/3696');
insert into vendas values (20170112, 62557, 50, 50, 86, 54, 20, 'FS 773246162/8660', 'R 612953856/2645');
insert into vendas values (20160107, 35751, 25, 8, 6, 86, 22, 'FS 800033778/2846', 'R 600262646/8457');
insert into vendas values (20171021, 122206, 56, 86, 48, 63, 19, 'FS 179550861/4320', 'R 013193615/1995');
insert into vendas values (20161210, 225130, 54, 45, 32, 95, 36, 'FS 087470904/1881', 'R 495872760/6883');
insert into vendas values (20170516, 52759, 39, 33, 50, 38, 17, 'FS 295205339/1543', 'R 697336563/1543');
insert into vendas values (20171008, 202319, 53, 23, 64, 48, 9, 'FS 487348970/4172', 'R 239739944/9069');
insert into vendas values (20171124, 42436, 67, 10, 19, 12, 10, 'FS 312049134/6812', 'R 964280650/8743');
insert into vendas values (20160409, 215352, 49, 21, 38, 69, 8, 'FS 375756390/8981', 'R 981645071/3903');
insert into vendas values (20170108, 60555, 13, 81, 93, 79, 34, 'FS 720407710/8268', 'R 680754407/3664');
insert into vendas values (20171214, 131436, 30, 92, 80, 61, 4, 'FS 686301319/8070', 'R 671456539/1181');
insert into vendas values (20160402, 33221, 33, 56, 48, 88, 35, 'FS 815787286/0128', 'R 428000754/3281');
insert into vendas values (20170828, 152821, 41, 83, 96, 22, 20, 'FS 846563034/4987', 'R 393216106/7407');
insert into vendas values (20160630, 110713, 43, 57, 66, 91, 19, 'FS 033709210/8636', 'R 201907068/5022');
insert into vendas values (20171222, 23135, 10, 91, 73, 25, 35, 'FS 180778636/9434', 'R 787674824/0832');
insert into vendas values (20160801, 174601, 24, 86, 84, 98, 14, 'FS 943173261/9790', 'R 096989356/4152');
insert into vendas values (20160131, 102857, 69, 10, 21, 4, 25, 'FS 407639769/2884', 'R 202513060/6157');
insert into vendas values (20160405, 153421, 34, 43, 67, 38, 9, 'FS 091543500/2536', 'R 170031409/3835');
insert into vendas values (20170522, 62408, 39, 16, 57, 15, 22, 'FS 836036218/9713', 'R 983675553/9729');
insert into vendas values (20160624, 192317, 41, 96, 67, 40, 31, 'FS 480982430/9455', 'R 335679336/7567');
insert into vendas values (20171224, 125911, 57, 79, 61, 70, 9, 'FS 310466915/0967', 'R 693999345/1985');
insert into vendas values (20160708, 51625, 28, 47, 21, 33, 1, 'FS 230065915/1538', 'R 223568190/6433');
insert into vendas values (20160425, 22618, 24, 96, 88, 3, 25, 'FS 240916977/6923', 'R 631761747/3982');
insert into vendas values (20160118, 103103, 38, 100, 87, 65, 24, 'FS 734060133/4371', 'R 436171968/0143');
insert into vendas values (20160719, 130018, 25, 30, 72, 44, 23, 'FS 859860706/0300', 'R 170199530/5989');
insert into vendas values (20170811, 00309, 42, 49, 63, 76, 23, 'FS 844216187/2666', 'R 523040930/8400');
insert into vendas values (20160402, 103605, 50, 53, 15, 17, 23, 'FS 251809057/3587', 'R 686801579/3836');
insert into vendas values (20161216, 132928, 17, 94, 60, 72, 31, 'FS 185340432/5353', 'R 239245099/3537');
insert into vendas values (20161101, 90344, 49, 86, 19, 38, 22, 'FS 710945772/8856', 'R 119582314/5865');
insert into vendas values (20160926, 25317, 11, 78, 27, 17, 9, 'FS 957118697/2371', 'R 633677562/5516');
insert into vendas values (20171209, 141618, 3, 94, 49, 38, 3, 'FS 404037044/7559', 'R 465934546/8935');
insert into vendas values (20160922, 134909, 12, 87, 66, 93, 13, 'FS 859439157/2840', 'R 453845628/1875');
insert into vendas values (20161010, 45827, 26, 95, 63, 89, 13, 'FS 125027542/0683', 'R 736480924/8918');
insert into vendas values (20170122, 75423, 51, 76, 70, 56, 36, 'FS 663919266/2260', 'R 459028283/7452');
insert into vendas values (20170210, 112352, 19, 61, 29, 12, 24, 'FS 261573912/2911', 'R 958951091/7954');
insert into vendas values (20160407, 102033, 48, 34, 37, 59, 13, 'FS 356806339/2963', 'R 776348951/5387');
insert into vendas values (20170610, 23315, 33, 74, 52, 55, 10, 'FS 991091336/4057', 'R 012437798/9264');
insert into vendas values (20160726, 234436, 31, 65, 66, 84, 29, 'FS 027938245/2193', 'R 333001329/6254');
insert into vendas values (20171112, 70342, 58, 5, 27, 67, 10, 'FS 571497215/4358', 'R 292422642/6437');
insert into vendas values (20171105, 145501, 50, 2, 14, 94, 34, 'FS 249802979/2020', 'R 605225699/3527');
insert into vendas values (20170201, 114859, 53, 28, 63, 24, 30, 'FS 010161868/5086', 'R 498437966/1152');
insert into vendas values (20160408, 134116, 3, 38, 6, 6, 8, 'FS 295509738/4143', 'R 429165821/5968');
insert into vendas values (20170717, 62350, 62, 90, 34, 6, 16, 'FS 252331662/7751', 'R 329593850/5490');
insert into vendas values (20170906, 44128, 7, 52, 41, 94, 11, 'FS 004890674/6571', 'R 266793247/6917');
insert into vendas values (20171223, 35920, 22, 3, 30, 11, 26, 'FS 896205423/7347', 'R 638894968/1699');
insert into vendas values (20160324, 143955, 55, 49, 28, 23, 29, 'FS 661802952/4101', 'R 081291543/8116');
insert into vendas values (20170121, 65058, 45, 79, 70, 44, 10, 'FS 507071298/7909', 'R 565955582/5000');
insert into vendas values (20161120, 183516, 24, 69, 91, 16, 23, 'FS 910094114/7267', 'R 622998585/7852');
insert into vendas values (20160317, 120002, 31, 26, 35, 76, 33, 'FS 948072545/5130', 'R 706219255/4753');
insert into vendas values (20170515, 70213, 17, 8, 43, 84, 4, 'FS 771479687/2076', 'R 485987619/5905');
insert into vendas values (20160509, 160616, 24, 85, 90, 96, 2, 'FS 274062055/0135', 'R 005689983/1336');
insert into vendas values (20170831, 204340, 46, 63, 89, 11, 23, 'FS 564503465/5982', 'R 337181937/6571');
insert into vendas values (20170710, 15459, 35, 80, 51, 82, 15, 'FS 589522400/6381', 'R 255498882/6985');
insert into vendas values (20160823, 223214, 56, 71, 2, 22, 31, 'FS 791730821/3099', 'R 570478839/2231');
insert into vendas values (20171031, 233007, 62, 89, 91, 29, 14, 'FS 503615682/2077', 'R 506059435/0366');
insert into vendas values (20160804, 154738, 32, 91, 92, 84, 18, 'FS 802132610/8129', 'R 319956425/9075');
insert into vendas values (20170114, 22121, 68, 30, 79, 63, 25, 'FS 270835409/4606', 'R 184573525/6858');
insert into vendas values (20161118, 190510, 65, 60, 1, 45, 23, 'FS 428320934/2745', 'R 581873455/3911');
insert into vendas values (20170225, 183450, 4, 83, 91, 96, 33, 'FS 167608380/0263', 'R 702059810/2379');
insert into vendas values (20170719, 43219, 54, 69, 18, 42, 7, 'FS 682606048/9418', 'R 271649822/0655');
insert into vendas values (20170924, 201857, 59, 100, 72, 67, 13, 'FS 888965890/2761', 'R 022268598/8424');
insert into vendas values (20170119, 215226, 15, 86, 76, 44, 23, 'FS 112580633/4088', 'R 299892583/4231');
insert into vendas values (20170924, 234900, 6, 96, 78, 47, 17, 'FS 057211441/3816', 'R 143517756/3238');
insert into vendas values (20171212, 102031, 11, 55, 39, 47, 18, 'FS 161076418/2925', 'R 060603417/3835');
insert into vendas values (20170507, 42911, 24, 57, 9, 17, 12, 'FS 168871390/2444', 'R 750650651/2023');
insert into vendas values (20171122, 30926, 55, 90, 22, 97, 26, 'FS 844420944/3009', 'R 120772246/4620');
insert into vendas values (20170615, 120611, 28, 60, 59, 14, 11, 'FS 229863230/8638', 'R 894096850/5708');
insert into vendas values (20171126, 84243, 35, 3, 68, 93, 36, 'FS 424737769/6522', 'R 783898657/9663');
insert into vendas values (20160405, 94157, 37, 13, 16, 56, 27, 'FS 706360750/5815', 'R 619448264/0478');
insert into vendas values (20171002, 214701, 52, 24, 17, 92, 8, 'FS 404186495/9607', 'R 715421342/2572');
insert into vendas values (20160916, 41212, 69, 91, 35, 18, 3, 'FS 875576763/5933', 'R 935838494/9685');
insert into vendas values (20170412, 151002, 21, 2, 90, 59, 6, 'FS 394840155/9050', 'R 728025073/4450');
insert into vendas values (20160914, 165510, 33, 7, 44, 80, 1, 'FS 637179368/8955', 'R 310913059/6167');
insert into vendas values (20160615, 193344, 51, 29, 62, 50, 22, 'FS 018225781/2016', 'R 841712843/0201');
insert into vendas values (20160710, 45737, 32, 15, 70, 59, 6, 'FS 307674196/0050', 'R 143439256/0875');
insert into vendas values (20171206, 52456, 58, 85, 75, 76, 6, 'FS 875122860/9947', 'R 474581896/2473');
insert into vendas values (20171221, 41622, 4, 65, 41, 80, 25, 'FS 209176743/4006', 'R 143684369/9928');
